0.55,-0.55
28407,-0.01,-0.01
28408,0.03,0.03
28409,0.04,0.04
28410,-0.02,-0.02
28411,0.00,0.00
28412,0.04,0.04
28413,-0.08,-0.08
28415,0.00,0.00
28416,-0.01,-0.01
28417,0.00,0.00
28418,0.00,0.00
28419,-0.01,-0.01
28420,0.00,0.00
28421,0.00,0.00
28422,-0.01,-0.01
28423,0.00,0.00
28424,0.00,0.00
28425,0.00,0.00
28426,-0.01,-0.01
28427,0.03,0.03
28428,-0.09,-0.09
28430,0.00,0.00
28431,0.00,0.00
28432,-0.01,-0.01
28433,0.02,0.02
28434,0.02,0.02
28435,0.03,0.03
28436,-0.01,-0.01
28437,-0.01,-0.01
28438,0.00,0.00
28439,-0.01,-0.01
28440,0.00,0.00
28441,0.00,0.00
28442,0.00,0.00
28443,0.00,0.00
28444,0.04,0.04
28445,0.00,0.00
28446,-0.04,-0.04
28448,-0.01,-0.01
28449,0.00,0.00
28450,-0.01,-0.01
28451,0.00,0.00
28452,0.00,0.00
28453,-0.01,-0.01
28454,-0.01,-0.01
28455,-0.01,-0.01
28456,0.03,0.03
28457,-0.01,-0.01
28459,0.00,0.00
28460,-0.01,-0.01
28461,-0.01,-0.01
28462,0.03,0.03
28463,0.00,0.00
28464,0.00,0.00
28465,0.00,0.00
28466,0.00,0.00
28467,-0.01,-0.01
28468,0.00,0.00
28469,0.00,0.00
28470,-0.01,-0.01
28472,0.00,0.00
28473,0.03,0.03
28474,0.00,0.00
28475,0.00,0.00
28476,0.00,0.00
28477,0.02,0.02
28478,0.02,0.02
28479,-0.01,-0.01
28480,-0.01,-0.01
28481,0.00,0.00
28482,0.00,0.00
28483,0.03,0.03
28484,0.00,0.00
28485,0.06,0.06
28486,0.00,0.00
28487,-0.01,-0.01
28488,-0.01,-0.01
28489,-0.01,-0.01
28490,-0.04,-0.04
28492,-0.01,-0.01
28493,0.00,0.00
28494,-0.01,-0.01
28495,-0.01,-0.01
28496,0.02,0.02
28497,0.03,0.03
28498,0.06,0.06
28499,-0.09,-0.09
28500,-0.01,-0.01
28501,-0.09,-0.09
28503,-0.02,-0.02
28504,0.04,0.04
28505,-0.01,-0.01
28506,-0.01,-0.01
28507,-0.01,-0.01
28508,0.02,0.02
28509,-0.01,-0.01
28511,0.00,0.00
28512,0.00,0.00
28513,-0.11,-0.11
28514,-0.01,-0.01
